phase,dataset_version,horizon_years,label,experiment,config_hash,run_id,git_sha,logged_utc,status
phase1,dataset_v1.0,2,label_2y_cagr_ge_0,tree_depth3_2y_cagr_ge_0,319daa83f71fd5f0,6e6fb0dc82d1,3e538762292296d1a53cd3d83eb6feb9eebce253,2026-07-22T01:25:56+00:00,completed
ex11,dataset_v1.0,2,label_2y_cagr_ge_0,experiment11,77e2629f49d8d1f7,8db6f3a12152,3e538762292296d1a53cd3d83eb6feb9eebce253,2026-07-22T01:53:25+00:00,completed
ex12,dataset_v1.0,2,label_2y_cagr_ge_8,experiment12-entity_holdout,b6b7493449556222,dfceeac81a9a,3e538762292296d1a53cd3d83eb6feb9eebce253,2026-07-22T02:26:36+00:00,completed
ex13,dataset_v1.0,2,label_2y_beat_spy,experiment13-holdout,f9ed15c8cd5f7f3e,bde2efbf6302,3e538762292296d1a53cd3d83eb6feb9eebce253,2026-07-22T03:36:13+00:00,completed
ex14,dataset_v1.0,2,label_2y_cagr_ge_0,experiment14-holdout,93196a10ed201fec,71995d92b0cf,3e538762292296d1a53cd3d83eb6feb9eebce253,2026-07-22T04:12:42+00:00,completed
phase1,dataset_v1.1,1,label_1y_cagr_ge_0,lightgbm_ranks-technical_1y_cagr_ge_0_ada3e6fe,5f289d3b90449512,fa8d47dcc453,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T00:45:11+00:00,completed
phase1,dataset_v1.1,1,label_1y_beat_spy,lightgbm_ranks-technical_1y_beat_spy_e074b6eb,cc595868f3036c21,8efbeba2c6fe,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T00:54:13+00:00,completed
lgbm_spy_1y_technicals,dataset_v1.1,1,label_1y_beat_spy,lightgbm_ranks-technical_1y_beat_spy_e074b6eb,cc595868f3036c21,4493233e818e,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T00:57:19+00:00,completed
lgbm_spy_1y_value,dataset_v1.1,1,label_1y_beat_spy,lightgbm_features-valuation-features-trend_1y_beat_spy_97fe9ef8,c98d3ccb9144ce8d,1f7b420c9667,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T00:57:30+00:00,completed
lgbm_spy_2y_technicals_holdout,dataset_v1.1,2,label_2y_beat_spy,lightgbm_ranks-technical_2y_beat_spy_393bbf9d,50b84f9a22a646bf,e4b649389a65,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:00:27+00:00,completed
lgbm_spy_2y_value,dataset_v1.1,2,label_2y_beat_spy,lightgbm_features-valuation-features-trend_2y_beat_spy_a1dee823,cc93c28c743979ed,8a5739bc4ed8,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:00:35+00:00,completed
lgbm_spy_5y_technicals,dataset_v1.1,5,label_5y_beat_spy,lightgbm_ranks-technical_5y_beat_spy_17f18492,f1aa6e02408f38b3,419f98ace435,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:00:47+00:00,completed
lgbm_spy_5y_value,dataset_v1.1,5,label_5y_beat_spy,lightgbm_features-valuation-features-trend_5y_beat_spy_b1c59ec7,f6a215141360dbec,f8900f7b03a0,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:00:55+00:00,completed
lgbm_cagr0_1y_value,dataset_v1.1,1,label_1y_cagr_ge_0,lightgbm_features-valuation-features-trend_1y_cagr_ge_0_29224b36,e8cdcaa7857721aa,04ca54f0de62,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:31:56+00:00,completed
lgbm_cagr0_1y_technicals,dataset_v1.1,1,label_1y_cagr_ge_0,lightgbm_ranks-technical_1y_cagr_ge_0_ada3e6fe,5f289d3b90449512,18c841c3dfa6,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:32:08+00:00,completed
lgbm_cagr0_2y_val,dataset_v1.1,2,label_2y_cagr_ge_0,lightgbm_ranks-valuation-ranks-trend_2y_cagr_ge_0_e8728774,27bcd39f2ddaf342,c243dcac0620,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:32:19+00:00,completed
lgbm_cagr0_2y_technicals,dataset_v1.1,2,label_2y_cagr_ge_0,lightgbm_ranks-technical_2y_cagr_ge_0_c764150a,652aa15a9770ff60,91dc3df48d8a,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:32:31+00:00,completed
lgbm_cagr0_5y_val,dataset_v1.1,5,label_5y_cagr_ge_0,lightgbm_ranks-valuation-ranks-trend_5y_cagr_ge_0_a27572a9,23364d9a878cedf5,25e6d1792cf6,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:32:40+00:00,completed
lgbm_cagr0_5y_technicals,dataset_v1.1,5,label_5y_cagr_ge_0,lightgbm_ranks-technical_5y_cagr_ge_0_928dc824,669e7b0b4d09a10c,5e72770d513c,60768d70fa2a848eabc08bd73031084eb0d3e096,2026-08-24T01:32:51+00:00,completed
