feature,mean_importance,fold_2005,fold_2006,fold_2007,fold_2008,fold_2009,fold_2010,fold_2011,fold_2012,fold_2013,fold_2014,fold_2015,fold_2016,fold_2017,fold_2018,fold_2019,fold_2020
ocf_yield_rank,0.2801021675968417,0.060633487711773945,0.08664502864167149,0.12733331891594035,0.18310788719212573,0.2859415086338672,0.31772703725331075,0.341269958372977,0.3349055010505323,0.41534502753481944,0.33957333519272553,0.36648215511009463,0.3529599196135641,0.3622850841139226,0.32786376387947685,0.31095945553809995,0.2686022127945656
vol_12m,0.2236467697174479,0.6441573335600693,0.630781646091117,0.6061518367062257,0.5039148720556005,0.3320654473630534,0.22355868319324881,0.10861367234652515,0.10472355392033797,0.13298924901842388,0.10454275354455651,0.0533550095342905,0.05358477022324448,0.03944924014818948,0.015373013661415582,0.008485623646518907,0.016601610466349417
ret_6m,0.07395661998996497,0.12007389200073108,0.09931394591868409,0.10161099195389067,0.08862257099774548,0.0960281137570084,0.09734200744296861,0.11110625452805248,0.09401342736523673,0.068034200601878,0.06774588327509116,0.060615464508637654,0.05249581121595102,0.03870456553424806,0.04192107356487558,0.02217687170561085,0.02350084546882973
rnd_to_assets_rank,0.05879498038085183,0.0033791899831475524,0.0020765652026350345,0.00599716031802419,0.020442818077598953,0.047329444105045956,0.05056417130338512,0.03542094626285099,0.032526142547240434,0.035394359489823723,0.0404591964602664,0.07954222414667257,0.07372513493088893,0.09511131761815655,0.11588360364256813,0.1306285562270973,0.17223885577822756
cfo_to_assets_rank,0.055861246287857776,0.00647910913526013,0.008568751626763092,0.00494473961789756,0.005627720032185932,0.008934403415461773,0.010623927283941424,0.041977956570259205,0.059995610996411736,0.04185304609553398,0.12428834390942739,0.08487966195912001,0.09749415223885756,0.10641890847038976,0.09599241674624633,0.08919796409788351,0.1065032284100851
ebitda_to_ev_rank,0.043061328768373715,0.003961077667366899,0.011149875977877269,0.013587395324133158,0.02407285155548235,0.05867454146372116,0.0760465679228707,0.060852524694003346,0.06140149242672851,0.028009310891903904,0.03981465046288784,0.050284862876862256,0.06571602625761384,0.059127143287199535,0.061548639388537295,0.0432428590525526,0.03149144104423877
dividend_yield_rank,0.041383834124088414,0.0014215552220439524,0.0023718831284576976,0.004938256578962598,0.019517240934446085,0.02585525336109822,0.018703391049386512,0.022752388499862233,0.025924552499214406,0.03559686833064661,0.0430624307651167,0.06140241762262193,0.06380559761823129,0.07581564566005851,0.08194970280767373,0.09312254868933871,0.0859016132182555
ret_1m,0.031066711026232135,0.014972807077518836,0.01839223169149058,0.018279751275299013,0.022160162373140942,0.0205267060479005,0.03316776792062891,0.0341977511417314,0.03488789330782347,0.03849412784381378,0.0429937091014797,0.042833661347014405,0.03990411709592565,0.04086848507415666,0.031660860804306426,0.03943937886863223,0.02428796544885167
ffo_to_liabilities_rank,0.02875386756352378,0.009184968182651649,0.009801201772552122,0.006599678552268209,0.0030170788221273257,0.004653527691442532,0.027570785641807868,0.057001688489171594,0.04350763213153555,0.05344184209428588,0.04434652414325538,0.037847470736717986,0.0318073251802599,0.021001112453256907,0.027735531332327028,0.03994881221066584,0.04259670158205468
conservative_score,0.02268048831144426,0.0,0.0002846613488554988,0.0021655945528013844,0.011261440936907317,0.014097571955677374,0.027950861161043956,0.03039720573802553,0.04240550163062309,0.029001904427529153,0.030781565812222307,0.02072166113303847,0.026999111859135314,0.032868916458061,0.03120661793045015,0.032770284388671134,0.029974913650066562
net_margin_rank,0.017863722507122422,0.0019972643175706455,0.0031229170338494447,0.002935890826115352,0.00784374235474558,0.0020950124905248523,0.007563136591340855,0.011250723812496411,0.01230266097811214,0.01864697716192876,0.02395323189416356,0.020474815007634272,0.016246050216849887,0.016530909823969146,0.03129517301944645,0.042147099586020156,0.06741395499919124
retearn_to_assets_rank,0.014229581667066548,0.007589837145806547,0.005375526729518975,0.004737133979613838,0.01282139955445562,0.016504219729543277,0.020662480725663037,0.02669282320731063,0.022106609157909827,0.018961352580684265,0.019097599815818923,0.0157929831659553,0.012459583905456355,0.013645966685595989,0.012637605229644926,0.012779310643389462,0.005808874416697818
log_assets_rank,0.013801669141981627,0.009164913042936523,0.008167549693452706,0.008019798477578641,0.009378277372769403,0.009244547959781111,0.007555532970114975,0.007991593781500377,0.010450002647291772,0.010168839501696897,0.00850385266736337,0.013440396903250882,0.019103435296749478,0.016263536692308494,0.024014567781449475,0.026257309972358082,0.033102551511103875
mom_12_2,0.009754643950890452,0.027332033672437486,0.028355739556157226,0.012291261588943317,0.007033260320387347,0.009420605272907537,0.013257558817602592,0.01812481787812814,0.01800470043662179,0.008679054867068903,0.0027038747209127477,0.003951867583000319,0.00280862886862892,0.0007957358176689295,0.001989148522332605,0.001326015291449387,0.0
ext_financing_to_assets_rank,0.009017983428138355,0.007046810494766604,0.012588675807431754,0.01013814189468934,0.011427823723010785,0.01325909925414373,0.01101553138637929,0.012785223991756321,0.008799015022866412,0.006107384996244911,0.005466892447911909,0.007035986620006549,0.009128589596930125,0.00865375339776348,0.009837568287482584,0.005846144334256512,0.005151093594573398
roa_rank,0.008858516894546233,0.0006853787275971973,0.0009924005346078322,0.0012108104565940721,0.0008885136579169593,0.002948572558685266,0.01151101628204505,0.023204134909303106,0.02422158875526294,0.010464411416648544,0.012511089394023931,0.01410698136866013,0.012076769234480365,0.010990435134275589,0.005931327246306658,0.004088721573150511,0.005904119063181564
share_count_growth_1y_rank,0.006274195843011513,0.01523820860145475,0.009423006045282758,0.00792407309397415,0.009876058562977396,0.009000161953342018,0.00694287736823461,0.004343424533160618,0.0021711614488668252,0.004537422231607714,0.0036807912924975974,0.00548413149364536,0.0039930246138202485,0.0032364397563890905,0.002668656925375896,0.00723769142712055,0.0046300041404346475
ebit_to_ev_rank,0.0062235040267700405,0.0009249101587532811,0.005883544621869071,0.005767644659776357,0.004455984219901878,0.0013200204347358084,0.007728663906013087,0.005301755604306852,0.012411541195938012,0.003105190906025395,0.004800860122343332,0.006354856528118949,0.012142745550334991,0.0012958526446337523,0.011330357791278133,0.010016103873380701,0.006736032210911036
ebit_to_invcap_rank,0.005846549644626592,0.00017530320657583857,0.0,0.00021213676212605305,0.004579350539284034,0.009557676442173145,0.00020669872828488518,0.004205087366590366,0.00588769522060146,9.976391014467515e-05,0.0007195618669135579,0.004459100484929332,0.004117382224565682,0.004618318622715886,0.019483400843811432,0.018189046330419067,0.017034271764890058
