feature,mean_importance,fold_2005,fold_2006,fold_2007,fold_2008,fold_2009,fold_2010,fold_2011,fold_2012,fold_2013,fold_2014,fold_2015,fold_2016,fold_2017,fold_2018,fold_2019,fold_2020
vol_12m_rank,0.3686076364403716,0.33773776863954674,0.3293239100371168,0.34585056173848666,0.36452094352130776,0.37290880706529317,0.36597681081125805,0.3534568395782485,0.3453439385382699,0.35173816492783133,0.3593141766152486,0.3781561081854032,0.38599137368553305,0.39076360211660194,0.39904946223814425,0.4059865642365873,0.411603151111068
vol_36m_rank,0.10999698232467914,0.00812403325944862,0.0716860813244181,0.11424355079933218,0.12363661649151758,0.11686790216911455,0.10505728560743097,0.09457463802541467,0.09178100969177162,0.10485614789247556,0.11711814350445497,0.11675112122313847,0.12612296121807992,0.13612711621038873,0.14009935763931636,0.14620113211666091,0.1467046200219031
dist_52w_high_rank,0.035227591882885344,0.04644811987873168,0.04365853874424847,0.032860103658030805,0.03236365816280746,0.03508056813408581,0.031460432622781746,0.03237300916734289,0.035573559123540696,0.036166624231354715,0.035946053521071046,0.03820204971800566,0.03460187950772199,0.033093664837721234,0.031031457612282074,0.03298791790675166,0.031793833299687595
max_ret_21d_rank,0.03227919482429033,0.034371625675092804,0.04088796016702612,0.03365564234208922,0.031386691828004284,0.03210523785406101,0.03346400906147314,0.033068554819002824,0.03519918105990995,0.033362759206555556,0.03167641676274861,0.030501288433973147,0.029266987652901734,0.03064710571194483,0.02846139463916604,0.029003356038377993,0.02940890593631793
log_assets_rank,0.02601608269055021,0.018193864334600362,0.016999790881657748,0.018225933835070526,0.023473259080350528,0.02613589048189106,0.027653890656276058,0.028471726449349328,0.02845491466831879,0.027963356205037652,0.025652349576563923,0.02784731393682129,0.02880414367351081,0.028204394891471588,0.03148137912364131,0.029605959435312374,0.029089155818930092
price_vs_5y_avg_rank,0.024534148688403763,0.0,0.013313147737708338,0.019723244446720956,0.033180300236964964,0.03197826084912699,0.027967375643898663,0.026333318777196718,0.019095659974896206,0.024998236488912754,0.019601251600127337,0.022158227675051826,0.033250546274683934,0.031017088553349545,0.030491358582654286,0.030424805664712576,0.029013556508455118
dist_5y_high_rank,0.01845630779941545,0.0,0.009035986591396171,0.044687061195540355,0.03978354751000239,0.030303341721180696,0.023468845270537702,0.019519698485623876,0.01712238218689429,0.014687043421487418,0.014975898705268846,0.016389230363239374,0.01533624634217567,0.01356027621212657,0.011902363614824309,0.012310740156537034,0.01221826301381241
dividend_yield_rank,0.017516754140713013,0.03750980142350112,0.04198580693536742,0.020083300691878664,0.021339339324662223,0.018277472976000443,0.012766257197735791,0.011675837804762864,0.009254797078972254,0.01105154009989001,0.014477690531505799,0.017546955883883553,0.01547167228327886,0.014410947198469897,0.012419247728822849,0.010874056392640373,0.011123342700036076
retearn_to_assets_rank,0.015769919243125062,0.03001278723567361,0.020621069853438555,0.0169883642761814,0.015548419042867134,0.015891810384297635,0.014586441655478809,0.0163022559547132,0.013356055348137363,0.013139336368372464,0.011680123953244831,0.013513097052049427,0.013269328454773936,0.01626387305401884,0.013500457321872838,0.013330970840602996,0.014314317094277967
ocf_yield_rank,0.013721784348988117,0.016546880311256187,0.014934326562323477,0.014061564241604716,0.016169273506250782,0.017054961150890516,0.02011424149540002,0.019980276012579585,0.018190184111116503,0.01615036979962842,0.012879232376032716,0.010195050427898445,0.009081700135439923,0.009987546555784071,0.007550442910281721,0.008399283753360002,0.008253216233962773
ncav_to_marketcap_rank,0.012911969727817142,0.025998621448752163,0.023556163786324146,0.010933756651968192,0.011664641678353642,0.01299679555690113,0.013770842940731198,0.007651832894141357,0.011760597884253574,0.009096243618785043,0.010804044136336738,0.010676673672500721,0.011545142686383606,0.010866049226276278,0.01175075252339297,0.011660898141235812,0.011858458798737717
ret_1m_rank,0.011562912565771202,0.02132262775530504,0.019966256023835383,0.012107405703122348,0.011076908635887037,0.010591349566735709,0.0117934392008018,0.012588709278271968,0.011655382940862208,0.010966566884990077,0.009632721868307567,0.010900643606673895,0.008869974860423221,0.007258620438762029,0.008647973359898815,0.008595028834483846,0.009032992093978304
beta_12m_rank,0.010188816136410005,0.019990331187512863,0.011900863991183954,0.007115686507602494,0.005753538660122211,0.004444121413769035,0.009386760357832598,0.010738771799855266,0.013546213270309701,0.009348596379479763,0.00922072644617247,0.00829960633928413,0.011294220555889207,0.011274331073226262,0.01210438635755236,0.009992858737827993,0.00861004510493972
ret_6m_rank,0.010030729231954983,0.022709747607589148,0.02227557353859524,0.012191133254306286,0.010516422205119485,0.008785985740602503,0.009274123609357109,0.009548249283105058,0.008781339060561706,0.008746863284267251,0.007507288407427952,0.007107354262308941,0.007858432360632023,0.006860966109882411,0.006550747630354634,0.005995277450044212,0.0057821639071257685
gross_margin_rank,0.009745394501547886,0.01684291112519567,0.01509794612664879,0.011658330676935995,0.009788566090313814,0.010469376417948501,0.011476979660637519,0.010160717326022082,0.010820712460690607,0.008968065466926788,0.009444677259002592,0.008667501029485885,0.00645345663960178,0.006755162287686161,0.006664363200269926,0.006264521069352579,0.006393025188047525
asset_turnover_rank,0.008553728119368977,0.0032809086571643077,0.004667797283823021,0.01806060747841357,0.013720183869336386,0.01167637668245753,0.010011602580825417,0.010471931457964654,0.008606547427551388,0.013204303696210283,0.008557872323796257,0.00859520370521322,0.007056089378386691,0.004238043345955002,0.0046808099268685404,0.004989415476737674,0.005041956619199698
ebit_to_invcap_rank,0.008513689147133244,0.001861677576095819,0.0014114423779956013,0.0016817772545574317,0.0014946181414504977,0.004490657100539171,0.008738143567739809,0.012562659965042317,0.014593316250586614,0.015579076168828546,0.01593931930356529,0.011720148917026774,0.009785902805212281,0.009131809206290432,0.00961794574787072,0.009252342618277828,0.008358189353052782
