run,status,label,eval_label,horizon_years,feature_set,seed,grid_params,sampled_params,config_hash,n_test,effective_n,base_rate,pr_auc,roc_auc,brier,base_rate_brier,precision_at_20,conf_at_20,recall_at_20,precision_at_50,conf_at_50,recall_at_50,recall_at_prec_0.75,n_at_prec_0.75,recall_at_prec_0.9,n_at_prec_0.9
xgb_random_search_3y__label_3y_beat_spy__fs0__r66,completed,label_3y_beat_spy,,3,0,7,{},"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",298167f8d6bd6ab0,256351,8215.438550146824,0.3535010191664152,0.4671766962786885,0.6301429545196154,0.28915234716203864,0.22853804861472096,0.54375,0.2677918495144695,0.0018697614442295294,0.51875,0.25173439271748066,0.004459488502041693,0.003223726627981947,394,0.0008166774124220932,81
xgb_random_search_3y__label_3y_beat_spy__fs0__r27,completed,label_3y_beat_spy,,3,0,7,{},"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",53ef7ef9bf00624c,256351,8215.438550146824,0.3535010191664152,0.45894863266762864,0.6277741963813515,0.2893220560226672,0.22853804861472096,0.54375,0.3316865566186607,0.0018697614442295294,0.4975,0.3040978908352554,0.0042768106597893835,0.002342574683000215,285,0.0007199656135826348,73
xgb_random_search_3y__label_3y_beat_spy__fs0__r12,completed,label_3y_beat_spy,,3,0,7,{},"{""class_weight"": 0.25, ""colsample_bytree"": 0.486409, ""gamma"": 0.00166561, ""learning_rate"": 0.0291577, ""max_depth"": 9, ""min_child_weight"": 0.720113, ""n_estimators"": 1056, ""reg_alpha"": 0.151987, ""reg_lambda"": 0.0359306, ""subsample"": 0.799307}",dbd9976c6044eea8,256351,8215.438550146824,0.3535010191664152,0.4497175517915884,0.6229449974792737,0.2382999065349302,0.22853804861472096,0.415625,0.7397377599962056,0.0014291854717386632,0.4375,0.693745162859559,0.0037610143993122716,0.002127659574468085,261,0.0007092198581560284,71
xgb_random_search_3y__label_3y_beat_spy__fs1__r38,completed,label_3y_beat_spy,,3,1,7,{},"{""class_weight"": 1.0, ""colsample_bytree"": 0.847544, ""gamma"": 5.17541, ""learning_rate"": 0.117179, ""max_depth"": 9, ""min_child_weight"": 121.977, ""n_estimators"": 141, ""reg_alpha"": 0.000119832, ""reg_lambda"": 0.0490356, ""subsample"": 0.76485}",fabb9d7e5b6b88e1,256351,8215.438550146824,0.3535010191664152,0.46049402656313293,0.6277651489519704,0.2291825278932532,0.22853804861472096,0.534375,0.7570661166682839,0.0018375241779497098,0.48,0.7397661446779966,0.0041263700838168925,0.0013217279174725983,159,0.0006984741027294219,69
xgb_random_search_3y__label_3y_beat_spy__fs1__r33,completed,label_3y_beat_spy,,3,1,7,{},"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",22e90e6c7f044cee,256351,8215.438550146824,0.3535010191664152,0.46598773059330334,0.6293716789492823,0.2866701398940525,0.22853804861472096,0.553125,0.20670202132314444,0.0019019987105093489,0.46625,0.19891262436285614,0.004008166774124221,0.0024285407264130667,289,0.0006984741027294219,69
xgb_random_search_3y__label_3y_beat_spy__fs0__r65,completed,label_3y_beat_spy,,3,0,7,{},"{""class_weight"": 0.25, ""colsample_bytree"": 0.521408, ""gamma"": 0.8894, ""learning_rate"": 0.0401561, ""max_depth"": 8, ""min_child_weight"": 0.521251, ""n_estimators"": 458, ""reg_alpha"": 0.0164131, ""reg_lambda"": 0.0180678, ""subsample"": 0.70443}",930ba6d0eb61c00f,256351,8215.438550146824,0.3535010191664152,0.4603136631334081,0.6313720176464093,0.24582728026246078,0.22853804861472096,0.49375,0.5246234958991408,0.0016978293574038256,0.48,0.48891030345112085,0.0041263700838168925,0.0015366430260047282,187,0.0006339995701697829,63
xgb_random_search_3y__label_3y_beat_spy__fs1__r45,completed,label_3y_beat_spy,,3,1,7,{},"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",df5dbd526c95ac83,256351,8215.438550146824,0.3535010191664152,0.46057300983717314,0.6275224277828662,0.22131396833634573,0.22853804861472096,0.540625,0.6154846134595573,0.0018590156888029228,0.4875,0.5920737479254603,0.004190844616376531,0.0013432194283258113,159,0.0006339995701697829,64
xgb_random_search_3y__label_3y_beat_spy__fs0__r56,completed,label_3y_beat_spy,,3,0,7,{},"{""class_weight"": 0.1, ""colsample_bytree"": 0.943062, ""gamma"": 0.0813678, ""learning_rate"": 0.1055, ""max_depth"": 9, ""min_child_weight"": 111.321, ""n_estimators"": 246, ""reg_alpha"": 7.98918, ""reg_lambda"": 0.362735, ""subsample"": 0.663559}",102cdd0af8f33c74,256351,8215.438550146824,0.3535010191664152,0.46165370364714525,0.6261860738434135,0.28987935432608886,0.22853804861472096,0.471875,0.25689777699299154,0.00162260906941758,0.50375,0.24545596018433571,0.004330539436922415,0.004556200300881152,561,0.000591016548463357,59
xgb_random_search_3y__label_3y_beat_spy__fs1__r9,completed,label_3y_beat_spy,,3,1,7,{},"{""class_weight"": 0.5, ""colsample_bytree"": 0.964604, ""gamma"": 0.00505162, ""learning_rate"": 0.0369191, ""max_depth"": 9, ""min_child_weight"": 3.28737, ""n_estimators"": 755, ""reg_alpha"": 0.000158513, ""reg_lambda"": 0.0171591, ""subsample"": 0.761615}",489cec626d4d66cc,256351,8215.438550146824,0.3535010191664152,0.446008195536719,0.6189848836462588,0.22625671174647285,0.22853804861472096,0.40625,0.8011681877076626,0.0013969482054588438,0.425,0.769123252555728,0.0036535568450462067,0.0019987105093488074,244,0.000591016548463357,59
xgb_random_search_3y__label_3y_beat_spy__fs1__r27,completed,label_3y_beat_spy,,3,1,7,{},"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",613955e149fc031f,256351,8215.438550146824,0.3535010191664152,0.4590948409745089,0.628148130273001,0.28928154980435977,0.22853804861472096,0.546875,0.3305332541000098,0.0018805071996561358,0.5125,0.30320719223469494,0.004405759724908661,0.002514506769825919,307,0.0005802707930367504,57
