run,candidate,status,label,eval_label,horizon_years,feature_set,param_set,set_params,seed,grid_params,sampled_params,config_hash,n_test,effective_n,base_rate,pr_auc,roc_auc,brier,base_rate_brier,precision_at_20,conf_at_20,recall_at_20,precision_at_50,conf_at_50,recall_at_50,recall_at_prec_0.75,n_at_prec_0.75,recall_at_prec_0.9,n_at_prec_0.9
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r26,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r26,completed,fwd_3y_excess_cagr >= 0.08,,3,2,0,{},7,{},"{""class_weight"": 1.0, ""colsample_bytree"": 0.491946, ""learning_rate"": 0.138133, ""max_depth"": 4, ""min_child_weight"": 158, ""n_estimators"": 636, ""reg_lambda"": 0.882653, ""subsample"": 0.913177}",88114d3726ebdd37,256351,8215.438550146824,0.2232864499277101,0.2790283811734495,0.5872870357542637,0.1837826912203039,0.1734296112063903,0.2625,0.6847513455897569,0.0014283770915521697,0.2625,0.6550688839331269,0.0035709427288804245,0.0003060808053326078,21,0.0002550673377771732,15
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r33,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r33,completed,fwd_3y_excess_cagr >= 0.08,,3,2,0,{},7,{},"{""class_weight"": 0.25, ""colsample_bytree"": 0.643307, ""learning_rate"": 0.0910908, ""max_depth"": 5, ""min_child_weight"": 366, ""n_estimators"": 122, ""reg_lambda"": 0.0357399, ""subsample"": 0.744931}",12ad7dceeb274de4,256351,8215.438550146824,0.2232864499277101,0.2720387867630017,0.5661976701908285,0.18370263743622808,0.1734296112063903,0.2375,0.2851274963002652,0.0012923411780710106,0.2375,0.26864432282745837,0.0032308529451775267,0.0003060808053326078,20,0.00023806284859202828,15
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r13,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r13,completed,fwd_3y_excess_cagr >= 0.08,,3,2,0,{},7,{},"{""class_weight"": 1.0, ""colsample_bytree"": 0.845084, ""learning_rate"": 0.0512973, ""max_depth"": 7, ""min_child_weight"": 145, ""n_estimators"": 559, ""reg_lambda"": 5.19783, ""subsample"": 0.971001}",adc271f9ef4bbc19,256351,8215.438550146824,0.2232864499277101,0.280544252349259,0.5907469899368727,0.182591336312154,0.1734296112063903,0.253125,0.6685727620497346,0.001377363623996735,0.26,0.6385808607190847,0.003536933750510135,0.0004081077404434771,28,0.00022105835940688343,13
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r23,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r23,completed,fwd_3y_excess_cagr >= 0.08,,3,2,0,{},7,{},"{""class_weight"": 1.0, ""colsample_bytree"": 0.649066, ""learning_rate"": 0.0524544, ""max_depth"": 6, ""min_child_weight"": 150, ""n_estimators"": 363, ""reg_lambda"": 0.0786628, ""subsample"": 0.991753}",5b71106e427eef7d,256351,8215.438550146824,0.2232864499277101,0.2792922438659775,0.5897024966281756,0.18258796998586746,0.1734296112063903,0.240625,0.6637289280071854,0.0013093456672561557,0.2525,0.631447306200862,0.003434906815399265,0.00037409876207318733,28,0.00020405387022173855,12
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r5,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r5,completed,fwd_3y_excess_cagr >= 0.08,,3,2,0,{},7,{},"{""class_weight"": 1.0, ""colsample_bytree"": 0.804017, ""learning_rate"": 0.0183269, ""max_depth"": 3, ""min_child_weight"": 298, ""n_estimators"": 172, ""reg_lambda"": 0.0130318, ""subsample"": 0.680308}",d2317f918a3608d5,256351,8215.438550146824,0.2232864499277101,0.27012526142889415,0.5690795976736913,0.18501184841829643,0.1734296112063903,0.225,0.6063649775460362,0.0012243232213304312,0.24375,0.5859554393589497,0.003315875391103251,0.00023806284859202828,16,0.00018704938103659367,11
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs0__r33,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs0__r33,completed,fwd_3y_excess_cagr >= 0.08,,3,0,0,{},7,{},"{""class_weight"": 0.25, ""colsample_bytree"": 0.643307, ""learning_rate"": 0.0910908, ""max_depth"": 5, ""min_child_weight"": 366, ""n_estimators"": 122, ""reg_lambda"": 0.0357399, ""subsample"": 0.744931}",3de02aa5a12fab5a,256351,8215.438550146824,0.2232864499277101,0.2722211911466483,0.5689701289795074,0.18200612354866177,0.1734296112063903,0.25,0.31333852084353564,0.0013603591348115903,0.23625,0.298907625451684,0.003213848455992382,0.00020405387022173855,13,0.00017004489185144879,10
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs1__r33,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs1__r33,completed,fwd_3y_excess_cagr >= 0.08,,3,1,0,{},7,{},"{""class_weight"": 0.25, ""colsample_bytree"": 0.643307, ""learning_rate"": 0.0910908, ""max_depth"": 5, ""min_child_weight"": 366, ""n_estimators"": 122, ""reg_lambda"": 0.0357399, ""subsample"": 0.744931}",548518441ea6417b,256351,8215.438550146824,0.2232864499277101,0.2722211911466483,0.5689701289795074,0.18200612354866177,0.1734296112063903,0.25,0.31333852084353564,0.0013603591348115903,0.23625,0.298907625451684,0.003213848455992382,0.00020405387022173855,13,0.00017004489185144879,10
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r39,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs2__r39,completed,fwd_3y_excess_cagr >= 0.08,,3,2,0,{},7,{},"{""class_weight"": 1.0, ""colsample_bytree"": 0.814952, ""learning_rate"": 0.0450116, ""max_depth"": 4, ""min_child_weight"": 77, ""n_estimators"": 1107, ""reg_lambda"": 0.0378022, ""subsample"": 0.794864}",5db723f3ee2a7ab6,256351,8215.438550146824,0.2232864499277101,0.2812007460561966,0.589436563274714,0.18290188172868127,0.1734296112063903,0.275,0.6629573814570904,0.0014963950482927493,0.25375,0.633285290710628,0.0034519113045844104,0.00032308529451775266,22,0.00017004489185144879,10
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs1__r25,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs1__r25,completed,fwd_3y_excess_cagr >= 0.08,,3,1,0,{},7,{},"{""class_weight"": 1.0, ""colsample_bytree"": 0.94108, ""learning_rate"": 0.0961521, ""max_depth"": 6, ""min_child_weight"": 49, ""n_estimators"": 497, ""reg_lambda"": 0.152233, ""subsample"": 0.899938}",9d1648841add6d7c,256351,8215.438550146824,0.2232864499277101,0.26548943951138293,0.5751053430649082,0.19379569421242016,0.1734296112063903,0.20625,0.7967425171285868,0.001122296286219562,0.2375,0.759734757617116,0.0032308529451775267,0.00022105835940688343,14,0.0001530404026663039,9
xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs0__r6,xgb_relvalue_random_search_3y__label_3y_excess_cagr_ge_0p08__fs0__r6,completed,fwd_3y_excess_cagr >= 0.08,,3,0,0,{},7,{},"{""class_weight"": 0.5, ""colsample_bytree"": 0.681345, ""learning_rate"": 0.150976, ""max_depth"": 4, ""min_child_weight"": 162, ""n_estimators"": 232, ""reg_lambda"": 0.0114468, ""subsample"": 0.663929}",30f29918192fae70,256351,8215.438550146824,0.2232864499277101,0.2674729513794143,0.5745407145278774,0.17489437016853843,0.1734296112063903,0.23125,0.622919075936079,0.001258332199700721,0.21875,0.5825141970068216,0.002975785607400354,0.00018704938103659367,12,0.0001530404026663039,9
