candidate,seeds_completed,label,eval_label,horizon_years,feature_set,param_set,set_params,grid_params,sampled_params,n_test_n,n_test_mean,n_test_std,n_test_min,n_test_max,n_test_ci95_low,n_test_ci95_high,effective_n_n,effective_n_mean,effective_n_std,effective_n_min,effective_n_max,effective_n_ci95_low,effective_n_ci95_high,base_rate_n,base_rate_mean,base_rate_std,base_rate_min,base_rate_max,base_rate_ci95_low,base_rate_ci95_high,pr_auc_n,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,pr_auc_ci95_low,pr_auc_ci95_high,roc_auc_n,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,roc_auc_ci95_low,roc_auc_ci95_high,brier_n,brier_mean,brier_std,brier_min,brier_max,brier_ci95_low,brier_ci95_high,base_rate_brier_n,base_rate_brier_mean,base_rate_brier_std,base_rate_brier_min,base_rate_brier_max,base_rate_brier_ci95_low,base_rate_brier_ci95_high,precision_at_20_n,precision_at_20_mean,precision_at_20_std,precision_at_20_min,precision_at_20_max,precision_at_20_ci95_low,precision_at_20_ci95_high,conf_at_20_n,conf_at_20_mean,conf_at_20_std,conf_at_20_min,conf_at_20_max,conf_at_20_ci95_low,conf_at_20_ci95_high,recall_at_20_n,recall_at_20_mean,recall_at_20_std,recall_at_20_min,recall_at_20_max,recall_at_20_ci95_low,recall_at_20_ci95_high
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set2,3/3,label_3y_beat_spy,,3,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",{},{},3,256351.0,0.0,256351.0,256351.0,256351.0,256351.0,3,8215.438550146824,0.0,8215.438550146824,8215.438550146824,8215.438550146824,8215.438550146824,3,0.3535010191664152,0.0,0.3535010191664152,0.3535010191664152,0.3535010191664152,0.3535010191664152,3,0.45929428311486137,0.00013741279378973658,0.45913574513968547,0.45937916981705984,0.45895293081173133,0.4596356354179914,3,0.6210196191610602,0.00014051998285816538,0.6208891358919982,0.6211683859591866,0.6206705481723878,0.6213686901497326,3,0.2822919850501114,2.9175247558761838e-05,0.2822706515853378,0.2823252318075354,0.282219509717401,0.28236446038282176,3,0.22853804861472096,0.0,0.22853804861472096,0.22853804861472096,0.22853804861472096,0.22853804861472096,3,0.5604166666666667,0.018310828990882263,0.546875,0.58125,0.5149300458370047,0.6059032874963286,3,0.24441624105287096,0.0007513613639237359,0.24373168931342662,0.24522012886591255,0.24254975595359585,0.24628272615214608,3,0.0019270721398380972,6.296438079821967e-05,0.0018805071996561358,0.0019987105093488074,0.0017706599470002314,0.002083484332675963
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set2,3/3,label_2y_beat_spy,,2,0,2,"{""class_weight"": 0.1, ""colsample_bytree"": 0.638389, ""gamma"": 0.00994761, ""learning_rate"": 0.0113265, ""max_depth"": 6, ""min_child_weight"": 59.9175, ""n_estimators"": 195, ""reg_alpha"": 0.000140183, ""reg_lambda"": 0.418799, ""subsample"": 0.887142}",{},{},3,292576.0,0.0,292576.0,292576.0,292576.0,292576.0,3,13435.081087150693,0.0,13435.081087150693,13435.081087150693,13435.081087150693,13435.081087150693,3,0.3833562072437065,6.798699777552591e-17,0.38335620724370656,0.38335620724370656,0.38335620724370634,0.38335620724370667,3,0.4626859071113711,0.000220262834520298,0.46248970036139414,0.46292416361589483,0.4621387438976422,0.46323307032509997,3,0.5920832790029127,0.0001886441198274024,0.5919319158143279,0.592294620070894,0.5916146610307494,0.5925518969750759,3,0.3131248915695309,8.013710763136681e-05,0.31304025458474494,0.31319960437661454,0.3129258199583532,0.31332396318070854,3,0.23639422561142684,0.0,0.23639422561142684,0.23639422561142684,0.23639422561142684,0.23639422561142684,3,0.5564814814814815,0.010516496936667199,0.5444444444444444,0.5638888888888889,0.5303570548455997,0.5826059081173632,3,0.22178274493802477,4.9795200706473726e-05,0.2217269935955604,0.22182280268106197,0.22165904680208565,0.2219064430739639,3,0.001751088967556779,3.309242513177031e-05,0.0017132118351470653,0.0017743979721166034,0.0016688828263136742,0.001833295108799884
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set0,3/3,label_3y_beat_spy,,3,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",{},{},3,256351.0,0.0,256351.0,256351.0,256351.0,256351.0,3,8215.438550146824,0.0,8215.438550146824,8215.438550146824,8215.438550146824,8215.438550146824,3,0.3535010191664152,0.0,0.3535010191664152,0.3535010191664152,0.3535010191664152,0.3535010191664152,3,0.46025558657275045,0.0001114300429206133,0.46013041239665925,0.46034396559161184,0.4599787790009094,0.4605323941445915,3,0.6251419515843196,0.00012299365684342363,0.6250143020179897,0.6252596895457024,0.6248364184030488,0.6254474847655904,3,0.2216680461742113,3.3372993791559365e-05,0.22163166636447573,0.22169724238623975,0.22158514306177968,0.2217509492866429,3,0.22853804861472096,0.0,0.22853804861472096,0.22853804861472096,0.22853804861472096,0.22853804861472096,3,0.5520833333333334,0.00477351634891234,0.546875,0.55625,0.5402252613533435,0.5639414053133233,3,0.6522174635902048,0.00064748105707992,0.6516158102080226,0.6529026620090008,0.6506090314786687,0.653825895701741,3,0.0018984167920338135,1.6414412547302234e-05,0.0018805071996561358,0.0019127444659359553,0.0018576411308088322,0.0019391924532587948
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set1,3/3,label_3y_beat_spy,,3,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",{},{},3,256351.0,0.0,256351.0,256351.0,256351.0,256351.0,3,8215.438550146824,0.0,8215.438550146824,8215.438550146824,8215.438550146824,8215.438550146824,3,0.3535010191664152,0.0,0.3535010191664152,0.3535010191664152,0.3535010191664152,0.3535010191664152,3,0.4575446957841638,0.0003548984506925421,0.4571841666919561,0.457893681966574,0.4566630791589567,0.4584263124093709,3,0.6220059263534029,0.00019099430294755568,0.6218312917034524,0.6222098879154236,0.6215314702027214,0.6224803825040844,3,0.22183968280288743,6.759678664992765e-05,0.22176302529158234,0.22189074124965089,0.22167176307597722,0.22200760252979765,3,0.22853804861472096,0.0,0.22853804861472096,0.22853804861472096,0.22853804861472096,0.22853804861472096,3,0.5489583333333333,0.0078644108700737,0.540625,0.55625,0.5294220537102841,0.5684946129563826,3,0.6540315825492143,0.0011484992631940053,0.6531366672366857,0.655326622352004,0.6511785522175967,0.656884612880832,3,0.0018876710366072067,2.7042891450930407e-05,0.0018590156888029228,0.0019127444659359553,0.0018204927701191797,0.0019548493030952336
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set3,3/3,label_3y_beat_spy,,3,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",{},{},3,256351.0,0.0,256351.0,256351.0,256351.0,256351.0,3,8215.438550146824,0.0,8215.438550146824,8215.438550146824,8215.438550146824,8215.438550146824,3,0.3535010191664152,0.0,0.3535010191664152,0.3535010191664152,0.3535010191664152,0.3535010191664152,3,0.4609328425654977,6.953547550096287e-05,0.46086560274962163,0.4610044662590874,0.4607601068685013,0.46110557826249415,3,0.6259445396460428,7.183389931759952e-05,0.6258874120171853,0.626025184499315,0.6257660943477659,0.6261229849443197,3,0.2857222212889146,3.170981898740134e-05,0.2856961765623892,0.2857575319178204,0.2856434497317352,0.285800992846094,3,0.22853804861472096,0.0,0.22853804861472096,0.22853804861472096,0.22853804861472096,0.22853804861472096,3,0.5458333333333334,0.006505206248331651,0.540625,0.553125,0.5296735051691388,0.561993161497528,3,0.3685794509171198,0.0010675704015968008,0.3674884831532836,0.36962197460234164,0.36592745902256474,0.37123144281167486,3,0.0018769252811806003,2.2369073710145455e-05,0.0018590156888029228,0.0019019987105093489,0.001821357421600305,0.0019324931407608955
xgb_search_cells_features_params__label_3y_beat_spy__fs0__set4,3/3,label_3y_beat_spy,,3,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",{},{},3,256351.0,0.0,256351.0,256351.0,256351.0,256351.0,3,8215.438550146824,0.0,8215.438550146824,8215.438550146824,8215.438550146824,8215.438550146824,3,0.3535010191664152,0.0,0.3535010191664152,0.3535010191664152,0.3535010191664152,0.3535010191664152,3,0.45834958657699026,0.00017578396063766213,0.4581571319829162,0.4585016790933708,0.4579129150112494,0.4587862581427311,3,0.619646717968023,0.0001637958447735134,0.6194837377305384,0.6198113174148048,0.619239826532993,0.6200536094030529,3,0.2862751586499821,8.194345804353988e-05,0.2861842877634661,0.28634343247768346,0.2860715998156249,0.2864787174843393,3,0.22853804861472096,0.0,0.22853804861472096,0.22853804861472096,0.22853804861472096,0.22853804861472096,3,0.5395833333333333,0.012629537138523052,0.525,0.546875,0.5082098238455768,0.5709568428210898,3,0.30145784046811364,0.0006141372033262949,0.30105792242102325,0.30216496186330916,0.2999322390811419,0.30298344185508536,3,0.0018554337703273872,4.3428453517380014e-05,0.0018052869116698903,0.0018805071996561358,0.0017475515111818672,0.0019633160294729073
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set0,3/3,label_2y_beat_spy,,2,0,0,"{""class_weight"": 0.5, ""colsample_bytree"": 0.407286, ""gamma"": 0.000106243, ""learning_rate"": 0.0118662, ""max_depth"": 8, ""min_child_weight"": 89.3656, ""n_estimators"": 556, ""reg_alpha"": 0.436331, ""reg_lambda"": 21.3796, ""subsample"": 0.6872}",{},{},3,292576.0,0.0,292576.0,292576.0,292576.0,292576.0,3,13435.081087150693,0.0,13435.081087150693,13435.081087150693,13435.081087150693,13435.081087150693,3,0.3833562072437065,6.798699777552591e-17,0.38335620724370656,0.38335620724370656,0.38335620724370634,0.38335620724370667,3,0.4631250862516975,0.000248186667185466,0.46284431294993233,0.4633151859444358,0.46250855639218846,0.46374161611120657,3,0.597037752863452,0.00046474224238681687,0.5965299928989019,0.5974420330307627,0.5958832691328955,0.5981922365940084,3,0.23848630648596472,0.00011714050449650258,0.23839130532498237,0.2386171916115029,0.2381953133411715,0.23877729963075794,3,0.23639422561142684,0.0,0.23639422561142684,0.23639422561142684,0.23639422561142684,0.23639422561142684,3,0.5231481481481481,0.01627629243633975,0.5111111111111111,0.5416666666666666,0.4827155962995599,0.5635806999967363,3,0.6163796858655082,0.001252951342266909,0.6151124262975322,0.617617821196715,0.6132671821851947,0.6194921895458216,3,0.001646198447037571,5.1216863573115875e-05,0.0016083213146278572,0.0017044709584371313,0.001518968704758022,0.00177342818931712
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set3,3/3,label_2y_beat_spy,,2,0,3,"{""class_weight"": 0.1, ""colsample_bytree"": 0.765949, ""gamma"": 0.000139965, ""learning_rate"": 0.0114436, ""max_depth"": 8, ""min_child_weight"": 7.50202, ""n_estimators"": 1069, ""reg_alpha"": 3.75825, ""reg_lambda"": 0.186001, ""subsample"": 0.954949}",{},{},3,292576.0,0.0,292576.0,292576.0,292576.0,292576.0,3,13435.081087150693,0.0,13435.081087150693,13435.081087150693,13435.081087150693,13435.081087150693,3,0.3833562072437065,6.798699777552591e-17,0.38335620724370656,0.38335620724370656,0.38335620724370634,0.38335620724370667,3,0.4634665762732628,0.0002798381839256635,0.46328761159719634,0.46378905677163884,0.46277141968738533,0.4641617328591403,3,0.5994008845639538,0.00015034537792104819,0.5992394889852075,0.5995369658620013,0.5990274059408728,0.5997743631870348,3,0.31786237399290496,0.00013733823177098964,0.3177414894101168,0.3180117093556774,0.3175212069120975,0.3182035410737124,3,0.23639422561142684,0.0,0.23639422561142684,0.23639422561142684,0.23639422561142684,0.23639422561142684,3,0.5083333333333333,0.0,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,3,0.31761457103270074,0.00043879832042052834,0.31733105493088565,0.31812000191873974,0.3165245355770914,0.31870460648831006,3,0.0015995804379179232,0.0,0.0015995804379179232,0.0015995804379179232,0.0015995804379179232,0.0015995804379179232
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set4,3/3,label_2y_beat_spy,,2,0,4,"{""class_weight"": 0.1, ""colsample_bytree"": 0.607408, ""gamma"": 0.342094, ""learning_rate"": 0.0165055, ""max_depth"": 5, ""min_child_weight"": 7.1194, ""n_estimators"": 517, ""reg_alpha"": 5.39125, ""reg_lambda"": 0.0251088, ""subsample"": 0.631728}",{},{},3,292576.0,0.0,292576.0,292576.0,292576.0,292576.0,3,13435.081087150693,0.0,13435.081087150693,13435.081087150693,13435.081087150693,13435.081087150693,3,0.3833562072437065,6.798699777552591e-17,0.38335620724370656,0.38335620724370656,0.38335620724370634,0.38335620724370667,3,0.45959468254737484,0.00011083248389446535,0.4594832111505041,0.4597048648733089,0.4593193593944456,0.45987000570030406,3,0.5913036687179828,0.00021349441415002187,0.5911315456734904,0.5915425703790645,0.5907733191925447,0.5918340182434209,3,0.31874767960142364,7.484846399736965e-05,0.3186661973407448,0.3188133761612077,0.3185617457093412,0.3189336134935061,3,0.23639422561142684,0.0,0.23639422561142684,0.23639422561142684,0.23639422561142684,0.23639422561142684,3,0.5018518518518519,0.015298807075794757,0.4861111111111111,0.5166666666666667,0.46384750825007737,0.5398561954536264,3,0.26675431310302683,0.001403192087727315,0.2652521661586232,0.26803132759200204,0.2632685907210737,0.27024003548497993,3,0.0015791850589280771,4.8140995125091504e-05,0.0015296534242384512,0.001625803068047725,0.0014595961974566485,0.0016987739203995057
xgb_search_cells_features_params__label_2y_beat_spy__fs0__set1,3/3,label_2y_beat_spy,,2,0,1,"{""class_weight"": 0.5, ""colsample_bytree"": 0.825382, ""gamma"": 4.79144, ""learning_rate"": 0.126577, ""max_depth"": 6, ""min_child_weight"": 5.09555, ""n_estimators"": 274, ""reg_alpha"": 4.30687, ""reg_lambda"": 0.235585, ""subsample"": 0.920096}",{},{},3,292576.0,0.0,292576.0,292576.0,292576.0,292576.0,3,13435.081087150693,0.0,13435.081087150693,13435.081087150693,13435.081087150693,13435.081087150693,3,0.3833562072437065,6.798699777552591e-17,0.38335620724370656,0.38335620724370656,0.38335620724370634,0.38335620724370667,3,0.46056943189798955,0.0004799460528529179,0.46010947190357926,0.4610671352903354,0.4593771798084919,0.4617616839874872,3,0.5936908211269004,0.0007425463457589438,0.5930348947108096,0.5944970054951904,0.5918462337466782,0.5955354085071226,3,0.23872398049868962,0.00019270686496370812,0.2385034837702233,0.23886014855342774,0.2382452701081201,0.23920269088925913,3,0.23639422561142684,0.0,0.23639422561142684,0.23639422561142684,0.23639422561142684,0.23639422561142684,3,0.4981481481481482,0.013702452395322893,0.4888888888888889,0.5138888888888888,0.4641093694094629,0.5321869268868334,3,0.6153091394790896,0.001715143954405664,0.6135533233483632,0.6169804900884628,0.6110484857008699,0.6195697932573093,3,0.0015675305566481652,4.3117720924052674e-05,0.0015383943009483851,0.0016170621913377912,0.0014604202000559996,0.0016746409132403308
